hID,impressions,posts impressions,video views,views,clicks,impressions to posts impressions,impressions to video views,impressions to views,impressions to clicks
-7.20722E+18,148644920,148427124,35235874,63754,232,99.85,23.7,0.04,0
-7.1669E+18,203708246,202418752,49291157,114436,1202,99.37,24.2,0.06,0
-7.11128E+18,1328264,1326268,504788,3380,7,99.85,38,0.25,0
-7.05861E+18,267456165,265945488,16495630,234579,2080,99.44,6.17,0.09,0
-7.04245E+18,43355789,30465763,3065577,45220,1026,70.27,7.07,0.1,0
-7.01941E+18,30390638,29089530,5559322,75456,0,95.72,18.29,0.25,0
-7.00306E+18,24676,24664,2,3,0,99.95,0.01,0.01,0
-6.87678E+18,3,0,0,3,0,0,0,100,0
-6.87473E+18,4692281,4689335,952554,6544,9,99.94,20.3,0.14,0
-6.79851E+18,4317,1909,567,3433,12,44.22,13.13,79.52,0.28
-6.79764E+18,695524,665754,235319,31800,72,95.72,33.83,4.57,0.01
-6.7479E+18,439537611,434947280,125292596,1071040,14553,98.96,28.51,0.24,0
-6.64276E+18,18545,13313,1762,6479,0,71.79,9.5,34.94,0
-6.61446E+18,18718,13658,0,5324,0,72.97,0,28.44,0
-6.60889E+18,737,128,0,709,0,17.37,0,96.2,0
-6.60498E+18,8444988,8039976,1538022,63506,0,95.2,18.21,0.75,0
-6.57374E+18,1594181,1515858,124753,25260,0,95.09,7.83,1.58,0
-6.50902E+18,14193,11741,550,1278,0,82.72,3.88,9,0
-6.42695E+18,17375,8285,2263,4049,80,47.68,13.02,23.3,0.46
-6.36682E+18,34149133,33913476,6462124,130383,0,99.31,18.92,0.38,0
-6.36556E+18,209899447,209109578,70080835,184096,0,99.62,33.39,0.09,0
-6.34935E+18,1189,0,0,26,0,0,0,2.19,0
-6.25942E+18,16396363,16197710,6346605,22962,227,98.79,38.71,0.14,0
-6.2447E+18,17,6,2,6,0,35.29,11.76,35.29,0
-6.22234E+18,835523,831705,1849,3089,0,99.54,0.22,0.37,0
-6.15764E+18,4192542891,4188962636,1278380183,2586814,15909,99.91,30.49,0.06,0
-6.14447E+18,1378,733,581,372,0,53.19,42.16,27,0
-6.13844E+18,3098891,2438735,486194,37831,0,78.7,15.69,1.22,0
-6.13793E+18,92,39,6,26,0,42.39,6.52,28.26,0
-6.12338E+18,18619,12719,1253,5793,0,68.31,6.73,31.11,0
-6.00047E+18,153702423,152184000,38063361,320976,0,99.01,24.76,0.21,0
-5.98066E+18,31683648,31501106,6335366,41804,0,99.42,20,0.13,0
-5.95173E+18,1401,1341,3,24,0,95.72,0.21,1.71,0
-5.8999E+18,7,0,0,10,0,0,0,142.86,0
-5.89122E+18,119293799,117018375,24474126,345070,183,98.09,20.52,0.29,0
-5.86531E+18,5,0,0,5,0,0,0,100,0
-5.85952E+18,1212612948,1209981485,51856483,1140851,20324,99.78,4.28,0.09,0
-5.84014E+18,391324433,387449883,78672750,973471,13943,99.01,20.1,0.25,0
-5.80228E+18,275561,238322,48170,26779,0,86.49,17.48,9.72,0
-5.78636E+18,1347,1003,24,552,0,74.46,1.78,40.98,0
-5.77508E+18,128100,118478,0,13901,0,92.49,0,10.85,0
-5.70854E+18,119007,78839,22205,18152,0,66.25,18.66,15.25,0
-5.66819E+18,113605176,112608733,12669173,77880,385,99.12,11.15,0.07,0
-5.6631E+18,18047639,17990445,6035729,16072,5,99.68,33.44,0.09,0
-5.60436E+18,59734,54632,7617,4413,0,91.46,12.75,7.39,0
-5.59012E+18,3,0,0,3,0,0,0,100,0
-5.53159E+18,9418219,9411563,2546701,13078,8,99.93,27.04,0.14,0
-5.52382E+18,218227,217143,339,1370,0,99.5,0.16,0.63,0
-5.49738E+18,6849953,6808128,730168,10572,83,99.39,10.66,0.15,0
-5.48274E+18,4590644,4497937,1426331,302543,175,97.98,31.07,6.59,0
-5.41247E+18,22649,19879,4008,3650,0,87.77,17.7,16.12,0
-5.39192E+18,3138,879,166,3139,0,28.01,5.29,100.03,0
-5.38422E+18,1062,752,0,396,0,70.81,0,37.29,0
-5.36031E+18,716,528,0,319,0,73.74,0,44.55,0
-5.35009E+18,12703131,12511751,2757799,59901,1287,98.49,21.71,0.47,0.01
-5.33523E+18,41662627,41050327,7130322,48743,0,98.53,17.11,0.12,0
-5.32449E+18,337732,300201,47178,21880,0,88.89,13.97,6.48,0
-5.30399E+18,3,0,0,3,0,0,0,100,0
